Source Name	Characteristics[organism]	Characteristics[taxonomy_id]	Characteristics[strain]	Characteristics[genotype]	Characteristics[cell_line]	Characteristics[disease]	Characteristics[tissue]	Characteristics[sample_type]	Characteristics[stimulus]	Characteristics[treatment]	Characteristics[compound]	Characteristics[amount]	Unit[mole based unit]	Comment[BioSample]	Comment[sample_title]	Protocol REF	Sample Name	Comment[Protocol subtype]	Protocol REF	Parameter Value[Post extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography instrument]	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	Assay Name	Comment[technical_replicate]	Raw Data File	Protocol REF	Processed Data File	Protocol REF	Metabolite Assignment File	Factor Value[genotype]	Factor Value[cell_line]	Factor Value[sample_type]	Factor Value[stimulus]	Factor Value[treatment]	Factor Value[amount]	Unit[mole based unit]
HEK293T	Homo sapiens	9606			HEK293T									SAMD00424292	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1	Sample collection	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1		PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-1.mzML	Data processing	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3.tsv	Metabolite identification	maf.1.tsv		HEK293T			none		
HEK293T	Homo sapiens	9606			HEK293T									SAMD00424293	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2	Sample collection	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2		PI_PI3P_PI4P_PI35P2_PI45P2_PIP3-2.mzML	Data processing	PI_PI3P_PI4P_PI35P2_PI45P2_PIP3.tsv	Metabolite identification	maf.1.tsv		HEK293T			none		
HEK293T	Homo sapiens	9606			HEK293T					expression IpgD				SAMD00424295	PI5P-1	Sample collection	PI5P-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI5P-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI5P-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI5P-1		PI5P-1.mzML	Data processing	PI5P.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression IpgD		
HEK293T	Homo sapiens	9606			HEK293T					expression IpgD				SAMD00424296	PI5P-2	Sample collection	PI5P-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI5P-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI5P-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI5P-2		PI5P-2.mzML	Data processing	PI5P.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression IpgD		
HEK293T	Homo sapiens	9606			HEK293T					H2O2				SAMD00424298	PI34P2-1	Sample collection	PI34P2-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI34P2-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI34P2-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI34P2-1		PI34P2-1.mzML	Data processing	PI34P2.tsv	Metabolite identification	maf.1.tsv		HEK293T			H2O2		
HEK293T	Homo sapiens	9606			HEK293T					H2O2				SAMD00424299	PI34P2-2	Sample collection	PI34P2-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PI34P2-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PI34P2-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PI34P2-2		PI34P2-2.mzML	Data processing	PI34P2.tsv	Metabolite identification	maf.1.tsv		HEK293T			H2O2		
HeLa	Homo sapiens	9606			HeLa	Adenocarcinoma				DMSO				SAMD00424301	PIK-III 0M-1	Sample collection	PIK-III 0M-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PIK-III 0M-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PIK-III 0M-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PIK-III 0M-1		PIK-III 0M-1.mzML	Data processing	PIK-III 0M.tsv	Metabolite identification	maf.1.tsv		HeLa			DMSO		
HeLa	Homo sapiens	9606			HeLa	Adenocarcinoma				DMSO				SAMD00424302	PIK-III 0M-2	Sample collection	PIK-III 0M-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PIK-III 0M-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PIK-III 0M-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PIK-III 0M-2		PIK-III 0M-2.mzML	Data processing	PIK-III 0M.tsv	Metabolite identification	maf.1.tsv		HeLa			DMSO		
HeLa	Homo sapiens	9606			HeLa	Adenocarcinoma				PIK-III				SAMD00424305	PIK-III 5microM-1	Sample collection	PIK-III 5microM-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PIK-III 5microM-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PIK-III 5microM-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PIK-III 5microM-1		PIK-III 5microM-1.mzML	Data processing	PIK-III 5microM.tsv	Metabolite identification	maf.1.tsv		HeLa			PIK-III		
HeLa	Homo sapiens	9606			HeLa	Adenocarcinoma				PIK-III				SAMD00424306	PIK-III 5microM-2	Sample collection	PIK-III 5microM-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	PIK-III 5microM-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PIK-III 5microM-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PIK-III 5microM-2		PIK-III 5microM-2.mzML	Data processing	PIK-III 5microM.tsv	Metabolite identification	maf.1.tsv		HeLa			PIK-III		
